#,Signal,Company,Industry,Country,Location,Role Found,Posted,Source,Contact,Notes
19,WARM,American Airlines,Airline / Travel,USA,"Fort Worth, TX","Data Scientist / Sr Data Scientist, B2B Data",Today,Dice,not found,Enterprise data science
20,WARM,Royal Caribbean Cruises Ltd,Travel / Cruise,USA,"Miramar, FL","Engineer, Platform",Today,Dice,not found,Platform/data engineering
21,WARM,Comcast Corporation,Telecom / Media,USA,"Reston, VA",Sr. Data Engineer (FreeWheel),Today,Dice,not found,Media/ad-tech data platform
22,WARM,T-Mobile,Telecom,USA,"Frisco, TX","Sr Engineer, Data - Finance Domain",Today,Dice,not found,Enterprise data engineering
23,WARM,Adobe,Software (Product),USA,"San Jose, CA",(Senior) Data Science Engineer,Today,Dice,not found,Product data science
24,WARM,Relativity,Legal Tech (SaaS),USA,Illinois,Senior Software Engineer,Today,Dice,not found,Product engineering w/ Databricks
25,WARM,Sigma Computing,BI / Analytics (SaaS),USA,"San Francisco, CA",Senior Security Engineer,Today,Dice,not found,Data product company
26,WARM,Red Ventures,Digital Media / Marketing,USA,"Fort Mill, SC",Data Engineering Manager,Today,Dice,not found,In-house data engineering org
27,WARM,H&R Block,Tax / Financial Services,USA,Missouri,Senior Data Engineer - Marketing Technologies,Today,Dice,not found,Marketing data platform
28,WARM,Boardwalk Pipeline Partners LP,Energy / Midstream,USA,"Houston, TX",Lead Analyst Data Engineer,Today,Dice,not found,Energy enterprise data team
29,HOT,Hims & Hers Health Inc,Digital Health,USA,Remote,"Staff Software Engineer, AI & Recommendations Platform",Today,Dice,not found,Building AI/recommendations data platform
30,WARM,Wellmark (Blue Cross Blue Shield),Health Insurance,USA,"Des Moines, IA",Sr. Software Engineer - Azure Ecosystem (open to Lead),Today,Dice,not found,Azure/Databricks ecosystem build-out
31,WARM,RELX / Reed Elsevier (LexisNexis),Information & Analytics,USA,"Alpharetta, GA",Senior Data Scientist I,Today,Dice,not found,Data/analytics parent; tech-services arm posted it
32,HOT,Freudenberg Group,Manufacturing / Automotive,USA,"Plymouth, MI",Data Engineer (Azure Databricks/PySpark/Delta Lake/Unity Catalog),~2026-06-16 (reposted),Built In (career page),not found,Active reposted req; medallion lakehouse build
33,WARM,MeridianLink,Fintech / Lending SaaS,USA,Remote,Sr. Data Engineer (Azure Databricks/Delta Lake),Last 90 days,Ashby ATS,not found,Full Databricks DW stack in-house
34,WARM,Aledade,Healthcare Analytics,USA,Remote,Senior Data Platform Engineer II (Databricks Lakehouse),2026-03-10,Lever ATS,not found,Databricks + Snowflake + Terraform; HIPAA
35,WARM,Hinge Health,Digital Health,USA / Canada,"San Francisco, CA + Montreal, QC",Staff Data Engineer - Data & ML Platform (Databricks),Last 90 days,Ashby ATS,not found,Has Montreal (Canada) engineering office
36,COLD,NISC (Nat'l Information Solutions Cooperative),Utility/Co-op Software (product),USA,"Lake St. Louis, MO / Mandan, ND",Data Engineer (AWS/Databricks),Last 90 days,Greenhouse ATS,not found,End-user product co for utilities
